epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
63,3730.75,0.83762,1.70156,0.09246,0.53408,0.01007,5.52108,0.55554,0.61979,0.61012,0.33325,0.38443,0.40748,0.33925,0.20645,1.33262,3.07619,0.13812,1.31724,0.016,0,0.000429068,0.000429068,0.000429068
64,3795.56,0.83686,1.71383,0.09457,0.52737,0.01036,5.55821,0.55956,0.58477,0.59508,0.32221,0.41303,0.40436,0.34002,0.18737,1.33221,3.1206,0.1435,1.30789,0.01634,0,0.000418069,0.000418069,0.000418069
65,3860.25,0.82819,1.65654,0.09415,0.52376,0.01018,5.38858,0.59624,0.54273,0.56852,0.3017,0.32823,0.35171,0.27885,0.15698,1.36407,3.21384,0.13978,1.3143,0.0166,0,0.00040707,0.00040707,0.00040707
66,3924.82,0.81006,1.68516,0.09063,0.50524,0.01013,5.4494,0.55408,0.57869,0.56669,0.30516,0.45766,0.37514,0.35202,0.20934,1.33788,3.00762,0.1379,1.32389,0.01633,0,0.000396071,0.000396071,0.000396071
67,3989.49,0.82488,1.67536,0.09213,0.50958,0.01001,5.48725,0.5923,0.58582,0.58338,0.31469,0.3688,0.39201,0.32391,0.186,1.33185,3.10134,0.13693,1.27698,0.01627,0,0.000385073,0.000385073,0.000385073
68,4054.11,0.81744,1.64963,0.09577,0.50726,0.00984,5.3025,0.5685,0.61611,0.59536,0.32341,0.42125,0.40081,0.34968,0.20132,1.34941,3.05899,0.13761,1.32025,0.01633,0,0.000374074,0.000374074,0.000374074
69,4118.68,0.83103,1.61614,0.09928,0.51767,0.01003,5.26975,0.54812,0.61956,0.58606,0.32126,0.34895,0.37162,0.31152,0.18213,1.31611,3.11802,0.13914,1.29854,0.01599,0,0.000363075,0.000363075,0.000363075
70,4183.25,0.80403,1.59452,0.08753,0.49626,0.0103,5.2886,0.54388,0.60309,0.5913,0.32998,0.40693,0.41186,0.34079,0.19612,1.31304,3.02873,0.13844,1.32572,0.01579,0,0.000352076,0.000352076,0.000352076
71,4247.87,0.79898,1.64368,0.09405,0.50075,0.00977,5.23612,0.66017,0.51989,0.57816,0.31733,0.38995,0.35797,0.29461,0.16929,1.32258,3.09104,0.14158,1.32407,0.0159,0,0.000341077,0.000341077,0.000341077
72,4312.39,0.80999,1.57654,0.0869,0.49229,0.00972,5.12025,0.55702,0.59928,0.60439,0.33427,0.39829,0.39229,0.33581,0.18852,1.32842,3.07166,0.13837,1.37134,0.01612,0,0.000330078,0.000330078,0.000330078
73,4377,0.80758,1.59802,0.08916,0.49881,0.00965,5.15855,0.57455,0.59313,0.59707,0.33466,0.42928,0.38191,0.32852,0.18542,1.31446,3.0754,0.13903,1.36369,0.01595,0,0.000319079,0.000319079,0.000319079
74,4441.68,0.81259,1.6094,0.09779,0.50602,0.01008,5.17879,0.55991,0.59872,0.58354,0.32347,0.42268,0.40643,0.34982,0.21123,1.31693,2.99733,0.13549,1.33471,0.01609,0,0.00030808,0.00030808,0.00030808
75,4506.39,0.80976,1.56295,0.08964,0.48358,0.00997,5.05791,0.56203,0.59959,0.60654,0.33939,0.43266,0.4137,0.35598,0.20647,1.3295,2.9478,0.1395,1.39388,0.01618,0,0.000297081,0.000297081,0.000297081
76,4557.18,0.79258,1.5776,0.09477,0.48377,0.00982,5.08316,0.57421,0.6106,0.60419,0.33515,0.44145,0.40123,0.35921,0.20991,1.30747,3.03028,0.14326,1.41624,0.01602,0,0.000286083,0.000286083,0.000286083
77,4596.34,0.77212,1.46413,0.09121,0.46491,0.00962,4.81498,0.59063,0.58696,0.58225,0.31967,0.40126,0.40462,0.33638,0.18856,1.30764,3.08506,0.13689,1.33644,0.0157,0,0.000275084,0.000275084,0.000275084
78,4634.88,0.76503,1.46307,0.08957,0.46697,0.00924,4.72434,0.6328,0.57082,0.59568,0.32794,0.42069,0.3979,0.34586,0.20253,1.32955,3.06128,0.14199,1.35364,0.01606,0,0.000264085,0.000264085,0.000264085
79,4692.24,0.76791,1.52931,0.09098,0.46653,0.0093,4.91795,0.63875,0.55896,0.59489,0.33223,0.41884,0.39075,0.34211,0.20595,1.30649,3.0109,0.13919,1.38126,0.01576,0,0.000253086,0.000253086,0.000253086
80,4756.8,0.7725,1.46177,0.09011,0.47,0.00923,4.73308,0.63683,0.55623,0.5945,0.32116,0.43477,0.39779,0.3457,0.19458,1.30157,3.04786,0.13897,1.36904,0.01574,0,0.000242087,0.000242087,0.000242087
81,4821.39,0.76308,1.5128,0.08631,0.45104,0.00926,4.8228,0.59267,0.58944,0.5904,0.32484,0.42099,0.40034,0.35035,0.20034,1.31452,3.01445,0.14037,1.3401,0.0159,0,0.000231088,0.000231088,0.000231088
82,4886.12,0.76056,1.52349,0.08743,0.45878,0.00925,4.76598,0.65195,0.54842,0.58741,0.32257,0.43086,0.39331,0.34546,0.19879,1.31861,3.06281,0.14035,1.32271,0.01607,0,0.000220089,0.000220089,0.000220089
83,4950.6,0.77089,1.46668,0.09018,0.46398,0.00914,4.62562,0.56545,0.60227,0.59846,0.32809,0.4469,0.3865,0.34847,0.19914,1.31986,3.01048,0.13595,1.33228,0.01597,0,0.00020909,0.00020909,0.00020909
84,5015.28,0.75256,1.46489,0.08756,0.45096,0.00881,4.49226,0.61781,0.55779,0.59194,0.32593,0.42186,0.40257,0.34481,0.19773,1.30195,3.05178,0.13735,1.38694,0.01567,0,0.000198091,0.000198091,0.000198091
85,5079.75,0.76279,1.51833,0.09189,0.46559,0.0091,4.76174,0.63096,0.57107,0.60577,0.33001,0.45408,0.39572,0.35693,0.20705,1.30651,3.01726,0.13821,1.35184,0.01577,0,0.000187092,0.000187092,0.000187092
86,5144.39,0.74434,1.42045,0.09313,0.44358,0.00885,4.43718,0.66763,0.53984,0.59793,0.32946,0.44609,0.39568,0.35463,0.20256,1.31669,2.99345,0.13887,1.36736,0.01598,0,0.000176094,0.000176094,0.000176094
87,5208.87,0.74367,1.45486,0.08617,0.43804,0.00905,4.43978,0.66276,0.54234,0.5992,0.32691,0.44268,0.39429,0.3523,0.20486,1.32919,3.04779,0.13792,1.35754,0.01614,0,0.000165095,0.000165095,0.000165095
88,5273.4,0.74861,1.49735,0.0855,0.44465,0.00898,4.65343,0.60321,0.58589,0.5977,0.3294,0.43102,0.40908,0.35194,0.20705,1.32176,3.03173,0.13954,1.37442,0.01602,0,0.000154096,0.000154096,0.000154096
89,5337.99,0.75409,1.4389,0.0913,0.44482,0.00884,4.41777,0.65066,0.58018,0.60688,0.33557,0.42986,0.40432,0.35017,0.19844,1.31098,3.0107,0.13937,1.33296,0.01593,0,0.000143097,0.000143097,0.000143097
90,5402.62,0.75919,1.47158,0.08887,0.4511,0.00865,4.46251,0.62161,0.58649,0.60647,0.33516,0.44289,0.39824,0.35837,0.21259,1.31272,2.99853,0.13972,1.3367,0.0159,0,0.000132098,0.000132098,0.000132098
91,5467.98,0.75608,1.4746,0.09295,0.46285,0.00893,4.59386,0.56583,0.5987,0.59111,0.32261,0.43691,0.39571,0.34879,0.20043,1.32247,3.03917,0.13878,1.38829,0.01599,0,0.000121099,0.000121099,0.000121099
92,5532.61,0.74648,1.41963,0.08701,0.4348,0.00864,4.27097,0.66259,0.53148,0.58584,0.31892,0.417,0.40143,0.34223,0.19978,1.31822,3.05609,0.13782,1.39636,0.01578,0,0.0001101,0.0001101,0.0001101
93,5597.28,0.7433,1.45928,0.08556,0.43687,0.00869,4.42834,0.56924,0.60894,0.59418,0.32461,0.42095,0.39441,0.34531,0.20785,1.31635,3.01013,0.13531,1.3693,0.01584,0,9.91012e-05,9.91012e-05,9.91012e-05
94,5651.69,0.74173,1.49703,0.0916,0.44747,0.00894,4.54917,0.64674,0.54803,0.59287,0.32861,0.43445,0.40884,0.36133,0.21156,1.30329,2.98708,0.13512,1.35721,0.01578,0,8.81023e-05,8.81023e-05,8.81023e-05
95,5690.32,0.74574,1.41319,0.08737,0.44415,0.00865,4.3079,0.62435,0.56457,0.59132,0.32461,0.41227,0.40054,0.34243,0.19739,1.31519,3.03182,0.13654,1.35644,0.0159,0,7.71034e-05,7.71034e-05,7.71034e-05
96,5729.42,0.7292,1.44956,0.09006,0.43519,0.00871,4.44235,0.67477,0.54072,0.5967,0.32807,0.41496,0.4098,0.34494,0.19791,1.31563,3.03296,0.13776,1.3705,0.0159,0,6.61045e-05,6.61045e-05,6.61045e-05
97,5785.51,0.72541,1.40707,0.08351,0.43018,0.00857,4.25173,0.67664,0.53921,0.5871,0.32301,0.42991,0.40537,0.35407,0.2061,1.31849,3.00681,0.13721,1.3589,0.01596,0,5.51056e-05,5.51056e-05,5.51056e-05
98,5850.16,0.7308,1.39132,0.08126,0.44147,0.00863,4.22404,0.65151,0.53928,0.59186,0.3263,0.43984,0.39517,0.34586,0.1982,1.31142,3.03721,0.13717,1.37725,0.01577,0,4.41067e-05,4.41067e-05,4.41067e-05
99,5914.76,0.72586,1.40825,0.08953,0.43046,0.00859,4.20678,0.61526,0.57048,0.59593,0.32659,0.4161,0.38946,0.3429,0.19769,1.32087,3.03637,0.13936,1.372,0.01586,0,3.31078e-05,3.31078e-05,3.31078e-05
100,5979.26,0.71847,1.39103,0.08401,0.42886,0.00863,4.12233,0.65913,0.54404,0.60706,0.33252,0.44005,0.39143,0.34851,0.20257,1.31411,3.02694,0.13852,1.36726,0.01584,0,2.21089e-05,2.21089e-05,2.21089e-05
