epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
78,1918.91,0.75097,1.51071,0.09266,0.3559,0.00695,3.42886,0.78091,0.64824,0.69056,0.40501,0.71124,0.58548,0.5652,0.35921,1.29809,2.7882,0.16232,1.16267,0.01234,0,0.000264085,0.000264085,0.000264085
79,1942.52,0.7588,1.68662,0.10838,0.41167,0.00697,3.81275,0.80184,0.6378,0.70219,0.40409,0.71532,0.56829,0.55411,0.36188,1.28687,2.77511,0.1653,1.15918,0.01216,0,0.000253086,0.000253086,0.000253086
80,1966.31,0.77176,1.55801,0.09516,0.37883,0.00681,3.43762,0.76019,0.64024,0.68391,0.39651,0.73593,0.54601,0.55269,0.35928,1.29679,2.84132,0.1617,1.19434,0.01233,0,0.000242087,0.000242087,0.000242087
81,1989.61,0.78139,1.60239,0.09187,0.37287,0.00643,3.32505,0.82553,0.62351,0.69548,0.40211,0.73823,0.55265,0.55135,0.36106,1.29381,2.80627,0.16431,1.1747,0.01237,0,0.000231088,0.000231088,0.000231088
82,2013.25,0.79127,1.69323,0.10089,0.43669,0.00663,3.45208,0.79801,0.64668,0.69605,0.4028,0.70543,0.57341,0.54967,0.36748,1.31038,2.83728,0.16465,1.17409,0.01254,0,0.000220089,0.000220089,0.000220089
83,2036.5,0.75581,1.59591,0.10577,0.36557,0.00727,3.57282,0.78846,0.64156,0.69752,0.40151,0.73054,0.55522,0.54333,0.35206,1.30807,2.84719,0.16365,1.15766,0.01244,0,0.00020909,0.00020909,0.00020909
84,2060.2,0.74919,1.56729,0.09168,0.36233,0.00618,3.07703,0.80586,0.64324,0.69683,0.40238,0.70709,0.57439,0.5468,0.35847,1.30625,2.79018,0.1614,1.1957,0.01235,0,0.000198091,0.000198091,0.000198091
85,2083.54,0.72715,1.531,0.09781,0.3456,0.00633,3.19277,0.7834,0.64014,0.69517,0.40397,0.70599,0.56859,0.54555,0.36326,1.30148,2.84846,0.16203,1.17108,0.01251,0,0.000187092,0.000187092,0.000187092
86,2107.25,0.72337,1.50635,0.10343,0.33621,0.00633,3.23057,0.8061,0.6301,0.68603,0.40073,0.73162,0.55815,0.54518,0.35851,1.29674,2.86561,0.16596,1.19332,0.01242,0,0.000176094,0.000176094,0.000176094
87,2130.97,0.74117,1.54352,0.09894,0.37273,0.00655,3.24974,0.78596,0.63295,0.69001,0.40272,0.71437,0.55738,0.53684,0.36253,1.29587,2.83207,0.16319,1.18439,0.01228,0,0.000165095,0.000165095,0.000165095
88,2154.91,0.7295,1.58891,0.09259,0.34676,0.00604,3.06225,0.7831,0.63407,0.68034,0.39676,0.68989,0.57378,0.54263,0.36155,1.30198,2.83551,0.16034,1.18282,0.01231,0,0.000154096,0.000154096,0.000154096
89,2177.85,0.70751,1.45664,0.09161,0.33255,0.00584,2.83672,0.80793,0.63531,0.69245,0.40192,0.71551,0.55813,0.54125,0.36403,1.28853,2.82222,0.1593,1.18594,0.01232,0,0.000143097,0.000143097,0.000143097
90,2201.34,0.74772,1.59789,0.09624,0.35492,0.00561,2.83159,0.78706,0.6382,0.69736,0.41027,0.71083,0.56409,0.55379,0.36929,1.29147,2.81416,0.1627,1.16357,0.01235,0,0.000132098,0.000132098,0.000132098
91,2237.81,0.76048,1.75621,0.10974,0.44341,0.00715,3.60405,0.8065,0.63261,0.69261,0.40639,0.71683,0.55346,0.54445,0.35849,1.28688,2.84033,0.16147,1.19948,0.01232,0,0.000121099,0.000121099,0.000121099
92,2261.52,0.73415,1.53315,0.09438,0.37393,0.00567,2.97498,0.79529,0.63926,0.69587,0.40601,0.71052,0.56404,0.54747,0.36465,1.28752,2.81637,0.16114,1.21526,0.01226,0,0.0001101,0.0001101,0.0001101
93,2285.35,0.70989,1.59661,0.08972,0.34271,0.00567,3.10141,0.80425,0.63819,0.69564,0.40779,0.71049,0.55866,0.5414,0.3608,1.28829,2.82226,0.16313,1.1867,0.01222,0,9.91012e-05,9.91012e-05,9.91012e-05
94,2308.41,0.71619,1.56487,0.09538,0.35461,0.00577,2.94229,0.79445,0.64959,0.69446,0.40785,0.69781,0.56566,0.54133,0.36012,1.29465,2.84095,0.16563,1.19953,0.01232,0,8.81023e-05,8.81023e-05,8.81023e-05
95,2332.02,0.70495,1.4618,0.0924,0.33453,0.00571,2.67446,0.80682,0.63869,0.69779,0.40397,0.70714,0.56447,0.5496,0.36514,1.29357,2.84173,0.16388,1.19309,0.01232,0,7.71034e-05,7.71034e-05,7.71034e-05
96,2355.75,0.67743,1.42606,0.09541,0.32771,0.00594,2.62164,0.80543,0.63635,0.70439,0.4078,0.71299,0.55989,0.5487,0.36582,1.29467,2.83342,0.16097,1.17716,0.01229,0,6.61045e-05,6.61045e-05,6.61045e-05
97,2379.59,0.67155,1.3833,0.10171,0.32069,0.00626,2.73536,0.81641,0.63541,0.69802,0.40559,0.72965,0.55503,0.55109,0.36962,1.29443,2.83755,0.15985,1.17628,0.01229,0,5.51056e-05,5.51056e-05,5.51056e-05
98,2402.99,0.70266,1.45754,0.0939,0.34033,0.00559,2.76159,0.80843,0.63569,0.69927,0.40605,0.72176,0.55485,0.54773,0.37135,1.28912,2.83147,0.15997,1.18798,0.01225,0,4.41067e-05,4.41067e-05,4.41067e-05
99,2426.52,0.69206,1.52526,0.09686,0.32546,0.00587,2.86266,0.8032,0.63607,0.69697,0.40925,0.70661,0.56449,0.55004,0.37227,1.28499,2.81383,0.16019,1.19209,0.01215,0,3.31078e-05,3.31078e-05,3.31078e-05
